0	Wind power in Scotland is the country's fastest growing renewable energy technology, with 2574 MW of installed capacity as of April 2011	0
1	The Robin Rigg Wind Farm is a 180 MW development completed in April 2010, which is Scotland's first offshore wind farm, sited on a sandbank in the Solway Firth	0
2	The United Kingdom's largest wind farm (322 MW) is at Whitelee in East Renfrewshire, which has a 217 MW extension under construction, set for completion in 2012	0
3	The Clyde Wind Farm is a 548 megawatt (MW) wind farm under construction near Abington in South Lanarkshire, Scotland, which will be Europe's largest onshore wind farm when completed	0
4	Two very large offshore wind turbines (5 MW each) are located in the Moray Firth	0
5	There are many other large onshore wind farms including some, both planned and operating, which are in community ownership	0
6	The siting of turbines is sometimes an issue, but surveys have shown high levels of community acceptance for wind power in Scotland	0
7	There is further potential for expansion, especially offshore given the high average wind speeds, and a number of large offshore wind farms are planned	0
8	The Scottish Government has a target of generating 31% of Scotland's electricity from renewable energy by 2011, and 100% by 2020, which was raised from 50% in September 2010	0
9	The majority of this is likely to come from wind power	0
10	Scotland's first offshore wind turbine was placed near the Beatrice Oil Field, 15 miles off the east coast in the Moray Firth, North Sea, in August 2006	0
11	This was the world's largest wind turbine at the time, an REpower 5M, with a maximum output of 5MW. A second identical turbine joined it and the wind farm began supplying electricity in August 2007	0
12	As of February 2010, Beatrice Wind Farm is the deepest and northernmost offshore wind installation in the world	0
13	This was the first time such large offshore wind turbines had been tested, and the first time any wind turbine generators have been assembled in such deep (44&nbsp;metres) water	0
14	Such large wind turbine generators are ideally suited to the offshore environment due to high consistent wind speeds and minimal turbulence	0
15	According to historical measures of wind speeds at the Beatrice offshore location, it is expected that the turbines will run 96% of the time (8440 hours per year), and at 10 MW full power 38% of the time (3300 hours per year)	0
16	The 54-turbine Black Law Wind Farm has a total capacity of 124 MW. It is located near Forth in Lanarkshire and was built on old opencast coalmine site, with an original capacity of 97 MW from 42 turbines	0
17	It employs seven permanent staff on site and created 200 jobs during construction	0
18	A second phase saw the installation of a further 12 turbines	0
19	The project has received wide recognition for its contribution to environmental objectives	0
20	Over the period April 2009 to March 2010, Black Law Wind Farm produced 19.19% of its rated capacity	0
21	The Braes of Doune Wind Farm opened in 2007 and is located close to Stirling	0
22	The wind farm has 36 Vestas 2 megawatt wind turbines	0
23	The farm was built and is run by Airtricity	0
24	Farr Wind Farm is located some 10 miles south of Inverness, and comprises 40 wind turbines with a total installed capacity of 92 MW. Every year the wind farm generates enough clean electricity to meet the average annual needs of some 54,000 homes	0
25	Hadyard Hill Wind Farm, owned and operated by Scottish and Southern Energy (SSE), became the first wind farm in the UK with a capacity of over 100 MW. The 120 MW, 52-turbine wind farm in South Ayrshire cost £85 million and in a year generates enough electricity to power 80,000 homes, sufficient to supply every household in a city the size of York	0
26	The production of zero carbon electricity at the wind farm is expected to reduce emissions of carbon dioxide by almost 300,000 tonnes a year, equivalent to taking 70,000 cars off the road	1
27	The Robin Rigg Wind Farm is a 180 MW development completed in April 2010, which is Scotland's first offshore wind farm, sited at Robin Rigg, a sandbank midway between the Galloway and Cumbrian coasts in the Solway Firth	0
28	It has 60 Vestas V90-3MW wind turbines	0
29	The 322 MW Whitelee Wind Farm was completed ahead of schedule in May 2009	0
30	It is Europe's largest onshore wind farm, built by Scottish Power Renewables	0
31	The wind farm uses 140 Siemens 2.3-MW wind turbines	0
